俄罗斯RTS,815.61,11.99,1.49,819.48,806.06
法国CAC40,7484.71,57.83,0.78,7511.02,7444.81
奥地利ATX,3606.69,23.0,0.64,3607.96,3582.42
希腊雅典ASE,1464.96,8.44,0.58,1465.15,1450.68
英国富时100,8349.63,41.02,0.49,8372.05,8308.61
葡萄牙PSI20,6362.3,25.99,0.41,6381.24,6341.44
挪威OSEBX,1454.92,5.34,0.37,1459.1,1449.69
冰岛ICEX,2276.63,7.83,0.35,2281.82,2268.04
荷兰AEX,894.59,2.92,0.33,897.36,889.14
富时AIM全股,740.29,2.07,0.28,742.19,736.97
爱尔兰综合,9685.55,23.17,0.24,9738.38,9661.61
欧洲斯托克50,4984.73,6.95,0.14,5007.7,4974.05
波兰WIG,82917.01,56.82,0.07,83336.32,82598.85
布拉格指数,1714.09,0.64,0.04,1718.77,1705.14
瑞典OMXSPI,2613.98,-0.29,-0.01,2633.57,2613.07
芬兰赫尔辛基,9737.8,-4.36,-0.04,9804.84,9734.82
OMX哥本哈根20,2435.84,-2.97,-0.12,2460.46,2427.62
英国富时250,21024.95,-34.05,-0.16,21122.46,21021.25
德国DAX30,20351.33,-33.28,-0.16,20461.85,20318.26
瑞士SMI,11756.59,-24.06,-0.2,11828.63,11740.16
