发布日期,菜名,价格(元/斤)
2024-12-03,莲花白,1.90元
2024-12-03,外地大白菜,1.50元
2024-12-03,胡萝卜,2.50元
2024-12-03,生菜,2.90元
2024-12-03,地瓜叶,3.60元
2024-12-03,韭菜,4.00元
2024-12-03,茄子,3.00元
2024-12-03,黄瓜,2.90元
2024-12-03,长豆角,3.60元
2024-12-03,尖椒,3.90元
2024-12-03,金丝白,2.90元
2024-12-03,南瓜,2.30元
2024-12-03,蒜头,8.90元
2024-12-03,紫洋葱,2.50元
2024-12-03,小黄白,2.90元
2024-12-03,黑叶白,3.60元
2024-12-03,小葱,7.90元
2024-12-03,黄玉米,2.90元
2024-12-03,小芥菜,2.90元
2024-12-03,水芹,6.50元
2024-12-03,芋头,3.90元
2024-12-03,毛节瓜,1.00元
