['香菜'],['2.2'],['1.7'],['1.2'],['本地']
['茴香'],['2.2'],['1.8'],['1.3'],['本地']
['菠菜'],['1.2'],['0.9'],['0.7'],['本地']
['油麦'],['1.6'],['1.2'],['0.8'],['本地']
['油麦'],['1.8'],['1.5'],['1.35'],['云南']
['茼蒿'],['3.2'],['2.8'],['2'],['本地']
['生菜'],['1.7'],['1.2'],['0.7'],['本地']
['意大利生菜'],['1.6'],['1.2'],['0.7'],['本地']
['意大利生菜'],['1.75'],['1.45'],['1.4'],['云南']
['球生菜'],['1.8'],['1.5'],['0.8'],['外/本地']
['小油菜'],['0.9'],['0.6'],['0.3'],['鲁/本地']
['上海青'],['1.6'],['1.4'],['1'],['云南']
['芹菜'],['0.95'],['0.8'],['0.5'],['外/本地']
['小白菜'],['0.9'],['0.7'],['0.4'],['本地']
['香芹'],['1.8'],['1.5'],['0.7'],['鲁/本地']
['苦苣'],['2.8'],['2.7'],['2'],['辽']
['韭菜'],['3'],['2.3'],['1.3'],['外/本地']
['娃娃菜'],['1.8'],['1.6'],['1.5'],['每小包']
['大白菜'],['0.4'],['0.25'],['0.2'],['东北/本地']
['甘蓝'],['0.45'],['0.38'],['0.25'],['本地']
['紫甘蓝'],['1.8'],['1.6'],['1.4'],['外/本地']
['有机菜花'],['1.35'],['1.2'],['0.9'],['外/本地']
['菜花'],['0.9'],['0.8'],['0.7'],['本地/二层']
['西兰花'],['2.1'],['2'],['1.3'],['外/本地']
['尖椒'],['2.6'],['2.3'],['1.3'],['外地']
['青椒'],['2'],['1.5'],['0.9'],['外地']
['红泡椒'],['4.8'],['4.6'],['4'],['外地']
['螺丝椒'],['2.7'],['2.6'],['1.8'],['外地']
['青线椒'],['2.5'],['2'],['1.8'],['外地']
['小米椒'],['5'],['4.8'],['4.5'],['外地']
['彩椒'],['7.5'],['7'],['6.5'],['外地']
['美人椒'],['6'],['5.5'],['5'],['外地']
['西葫芦'],['1.3'],['1.2'],['0.9'],['外/本地']
['西红柿'],['2.5'],['2'],['1.2'],['本地/外']
['圣女果'],['2.3'],['2.2'],['2'],['外/本地']
['长茄'],['2'],['1.5'],['1.3'],['外地']
['圆茄'],['1.8'],['1.6'],['0.8'],['外/本地']
['大葱(钢)'],['1.9'],['1.8'],['1.6'],['外地']
['大葱'],['1.2'],['0.9'],['0.8'],['本地']
['香葱'],['4'],['3.5'],['1.8'],['云南']
['小葱(香/钢)'],['3.5'],['3'],['1.7'],['本地']
['洋葱(红)'],['1.5'],['1.4'],['1.3'],['外地']
['洋葱(紫)'],['1.5'],['1.4'],['1.3'],['外地']
['洋葱(黄)'],['0.75'],['0.7'],['0.65'],['外地']
['大蒜'],['5.6'],['5.5'],['4.8'],['鲁/云']
['干姜'],['5.5'],['3.5'],['2.5'],['鲁']
['新姜'],['5'],['4.5'],['4'],['鲁']
['蒜黄'],['4.3'],['4'],['3.5'],['鲁']
['蒜苗'],['3'],['2'],['1.5'],['外/本地']
['蒜苔(白)'],['6'],['6'],['6'],['本地']
['蒜苔(红)'],['2.8'],['2.5'],['2.4'],['外地']
['白不老'],['3.3'],['2.25'],['1.7'],['外地']
['豆王'],['3.3'],['2.25'],['1.7'],['鲁/云']
['长豆角'],['3.5'],['3.3'],['3'],['外地']
['扁豆'],['3.2'],['1.9'],['1.5'],['外地']
['黑豆芽'],['1.2'],['0.8'],['0.6'],['本地']
['黄豆芽'],['1.2'],['0.8'],['0.6'],['本地']
['绿豆芽'],['1.2'],['0.8'],['0.6'],['本地']
['黄瓜'],['2.3'],['2'],['1.1'],['本地/鲁']
['小黄瓜'],['4.3'],['3.8'],['3.2'],['鲁']
['苦瓜'],['4'],['3.8'],['3.5'],['鲁']
['丝瓜'],['5'],['4.4'],['4'],['外地']
['南瓜(板栗)'],['1.7'],['1.5'],['1.3'],['外地']
['南瓜(贝贝)'],['1.7'],['1.6'],['1.5'],['外地']
['南瓜(黄)'],['1.3'],['1.1'],['1'],['外地']
['南瓜(黄金)'],['1.5'],['1.3'],['1.25'],['外地']
['南瓜(盘龙)'],['1.2'],['1.05'],['1'],['外地']
['小冬瓜'],['1.2'],['1.1'],['1'],['本地']
['冬瓜(吊)'],['1.1'],['1'],['0.95'],['外地']
['冬瓜(地)'],['1'],['0.9'],['0.7'],['外地']
['冬瓜(白)'],['1.35'],['1.2'],['1'],['外地']
['平菇'],['1.3'],['1.2'],['1.1'],['本地']
['香菇'],['5'],['4.5'],['3.5'],['本地']
['金针菇'],['1.9'],['1.75'],['1.5'],['外地']
['白玉菇'],['3.1'],['3'],['2.8'],['外地']
['杏鲍菇'],['2.7'],['2.5'],['2.3'],['外地']
['蟹味菇'],['3.4'],['3.1'],['2.8'],['外地']
['山药(麻山药)'],['3.5'],['2'],['1.2'],['外/本地']
['山药(小白嘴)'],['3.5'],['3'],['2'],['外地']
['红薯(西瓜红)'],['1.1'],['1'],['0.7'],['外地']
['红薯(大开花)'],['0.8'],['0.75'],['0.65'],['外地']
['红薯(商薯19)'],['1.1'],['1'],['0.8'],['外地']
['红薯(板栗)'],['1'],['0.9'],['0.8'],['外地']
['红薯(龙九)'],['0.9'],['0.85'],['0.6'],['外地']
['红薯(紫薯)'],['2'],['1.7'],['1.5'],['外地']
['芋头'],['0.6'],['0.6'],['0.6'],['外地']
['白萝卜'],['0.4'],['0.35'],['0.3'],['冀']
['胡萝卜'],['1.5'],['1.3'],['0.7'],['外地']
['青萝卜'],['1'],['0.8'],['0.5'],['外地']
['土豆'],['0.95'],['0.8'],['0.6'],['内蒙']
['苤蓝'],['1.2'],['0.9'],['0.5'],['本地']
['莴笋'],['2.2'],['2.1'],['1.5'],['鲁']
['玉米(白糯)'],['1.6'],['1.5'],['1.3'],['外地']
['玉米(水果)'],['1.5'],['1.4'],['1.3'],['外地']
['莲藕'],['2'],['1.9'],['1.8'],['外地']
